Player,Position,Games Played,Solo Tackles,Asst Tackles,Total Tackles,Tackles Per Game,Total Sacks,Sacks Per Game,Forced Fumbles,Fumbles Recovered,Passes Defended,Int,Int Ret Yds,Yds Per Int,Int Ret TDs
Christian Jones,LLB,16,32,25,57,3.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Christian Jones,MLB,16,42,28,70,4.38,2.0,0.12,0.0,1.0,1.0,0.0,0.0,0.0,0
Christian Jones,RILB,15,62,24,86,5.73,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0
Christian Jones,RLB,29,77,43,120,4.14,3.0,0.1,1.0,1.0,7.0,0.0,0.0,0.0,0
Christian Kirksey,LB,17,82,42,124,7.29,3.0,0.18,0.0,1.0,5.0,2.0,18.0,9.0,0
Christian Kirksey,LILB,11,46,31,77,7.0,2.0,0.18,0.0,0.0,4.0,2.0,18.0,9.0,0
Christian Kirksey,LLB,23,115,66,181,7.87,3.5,0.15,2.0,2.0,10.0,2.0,17.0,8.5,0
Christian Kirksey,MLB,13,55,38,93,7.15,0.0,0.0,0.0,2.0,8.0,1.0,1.0,1.0,0
Christian Kirksey,RILB,48,183,109,292,6.08,8.0,0.17,2.0,1.0,6.0,0.0,0.0,0.0,0
Christian Wilkins,DT,17,59,39,98,5.76,3.5,0.21,2.0,1.0,6.0,0.0,0.0,0.0,0
Christian Wilkins,LDE,14,28,19,47,3.36,1.5,0.11,0.0,1.0,5.0,1.0,8.0,8.0,0
Christian Wilkins,RDE,33,79,66,145,4.39,6.5,0.2,1.0,2.0,6.0,0.0,0.0,0.0,0
Chuck Clark,DB,16,16,5,21,1.31,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0
Chuck Clark,FS,16,45,28,73,4.56,1.0,0.06,2.0,0.0,9.0,1.0,12.0,12.0,0
Chuck Clark,S,17,61,40,101,5.94,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0
Chuck Clark,SS,32,106,70,176,5.5,2.5,0.08,2.0,3.0,16.0,3.0,17.0,5.67,1
Chykie Brown,DB,15,33,8,41,2.73,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
Clay Matthews,LILB,13,27,10,37,2.85,8.0,0.62,2.0,0.0,3.0,0.0,0.0,0.0,0
Clay Matthews,LOLB,30,56,30,86,2.87,11.0,0.37,2.0,1.0,2.0,0.0,0.0,0.0,0
Clay Matthews,RILB,16,49,17,66,4.12,6.5,0.41,0.0,1.0,3.0,1.0,42.0,42.0,0
Clay Matthews,ROLB,23,46,19,65,2.83,12.5,0.54,4.0,0.0,4.0,0.0,0.0,0.0,0
Clay Matthews,ROLB/RILB,16,45,16,61,3.81,11.0,0.69,2.0,0.0,9.0,1.0,40.0,40.0,0
Clayton Fejedelem,DB,16,23,12,35,2.19,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0
Clayton Fejedelem,SS,16,34,23,57,3.56,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,0
Clayton Geathers,DB,15,27,7,34,2.27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
Clayton Geathers,FS,9,50,9,59,6.56,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0
Clayton Geathers,SS,27,101,42,143,5.3,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0
Clelin Ferrell,LDE,26,42,23,65,2.5,6.5,0.25,2.0,1.0,8.0,0.0,0.0,0.0,0
Cliff Avril,RDE,32,51,35,86,2.69,20.5,0.64,7.0,0.0,10.0,0.0,0.0,0.0,0
Clinton McDonald,DT,44,56,39,95,2.16,12.5,0.28,0.0,2.0,3.0,1.0,3.0,3.0,0
Clinton McDonald,RDT,31,80,32,112,3.61,8.5,0.27,0.0,2.0,2.0,1.0,3.0,3.0,0
Coby Bryant,CB,17,52,18,70,4.12,2.0,0.12,4.0,0.0,4.0,0.0,0.0,0.0,0
Cody Barton,LB,49,131,77,208,4.24,2.0,0.04,2.0,0.0,7.0,2.0,11.0,5.5,0
Cole Holcomb,LB,7,37,32,69,9.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Cole Holcomb,LILB,16,74,31,105,6.56,1.0,0.06,3.0,0.0,1.0,0.0,0.0,0.0,0
Cole Holcomb,LLB,27,128,86,214,7.93,3.5,0.13,2.0,1.0,8.0,3.0,54.0,18.0,1
