Player,Position,Games Played,Receptions,Reception Yds,Reception Yds Per Attempt,Reception TD,Reception Yds Per Game,Rush,Rush Yds,Rush Yds Per Attempt,Rush TD,Rush Yds Per Game
Manasseh Bailey,WR,12,53,976,18.42,10,81.33,0.0,0.0,0.0,0.0,0.0
Manasseh Garner,TE,13,33,391,11.85,3,30.08,0.0,0.0,0.0,0.0,0.0
Marcel Caver,WR,10,21,393,18.71,3,39.3,0.0,0.0,0.0,0.0,0.0
Marcel Jensen,TE,13,26,353,13.58,3,27.15,0.0,0.0,0.0,0.0,0.0
Marcell Ateman,WR,26,104,1922,18.48,13,73.92,0.0,0.0,0.0,0.0,0.0
Marcell Barbee,WR,12,40,584,14.6,10,48.67,0.0,0.0,0.0,0.0,0.0
Marcus Armstrong-Brown,WR,14,50,573,11.46,2,40.93,0.0,0.0,0.0,0.0,0.0
Marcus Cooper,RB,7,32,329,10.28,2,47.0,163.0,1226.0,7.52,11.0,55.73
Marcus Green,WR,36,167,2382,14.26,20,66.17,0.0,0.0,0.0,0.0,0.0
Marcus Henry,WR,25,78,1076,13.79,7,43.04,0.0,0.0,0.0,0.0,0.0
Marcus Johnson,WR,11,22,350,15.91,2,31.82,0.0,0.0,0.0,0.0,0.0
Marcus Kemp,WR,40,165,2460,14.91,13,61.5,0.0,0.0,0.0,0.0,0.0
Marcus Lucas,WR,14,58,692,11.93,3,49.43,0.0,0.0,0.0,0.0,0.0
Marcus Mason,RB,13,52,390,7.5,2,30.0,87.0,429.0,4.93,2.0,33.0
Marcus McGill,WR,24,90,1154,12.82,4,48.08,0.0,0.0,0.0,0.0,0.0
Marcus Riley,QB,11,38,544,14.32,5,49.45,0.0,0.0,0.0,0.0,0.0
Marcus Simms,WR,23,81,1362,16.81,7,59.22,0.0,0.0,0.0,0.0,0.0
Marcus Sullivan,WR,9,45,505,11.22,5,56.11,0.0,0.0,0.0,0.0,0.0
Marcus Taylor,WR,22,111,1214,10.94,8,55.18,0.0,0.0,0.0,0.0,0.0
Mario Alford,DB,13,65,945,14.54,11,72.69,0.0,0.0,0.0,0.0,0.0
Mario Hull,WR,13,32,621,19.41,8,47.77,0.0,0.0,0.0,0.0,0.0
Mario Williams,WR,12,40,631,15.78,5,52.58,0.0,0.0,0.0,0.0,0.0
Marion Grice,RB,11,50,438,8.76,6,39.82,191.0,996.0,5.21,14.0,90.55
Mark Andrews,TE,14,62,958,15.45,8,68.43,0.0,0.0,0.0,0.0,0.0
Mark Chapman,WR,26,103,1467,14.24,9,56.42,0.0,0.0,0.0,0.0,0.0
Mark Pope,WR,11,33,403,12.21,2,36.64,0.0,0.0,0.0,0.0,0.0
Mark Roberts,WR,12,46,1157,25.15,13,96.42,0.0,0.0,0.0,0.0,0.0
Mark Ross,WR,12,74,1078,14.57,8,89.83,0.0,0.0,0.0,0.0,0.0
Markcus Hardy,WR,10,35,524,14.97,7,52.4,0.0,0.0,0.0,0.0,0.0
Markeith Ambles,WR,13,32,539,16.84,4,41.46,0.0,0.0,0.0,0.0,0.0
Markese Triplett,WR,23,73,1087,14.89,5,47.26,0.0,0.0,0.0,0.0,0.0
Markis McCray,WR,12,48,583,12.15,6,48.58,0.0,0.0,0.0,0.0,0.0
Markis Merrill,WR,7,24,363,15.12,2,51.86,0.0,0.0,0.0,0.0,0.0
Marlon Williams,WR,20,122,1756,14.39,16,87.8,0.0,0.0,0.0,0.0,0.0
Marqise Lee,WR,11,57,791,13.88,4,71.91,0.0,0.0,0.0,0.0,0.0
Marquese Martin-Hayes,WR,10,49,604,12.33,2,60.4,0.0,0.0,0.0,0.0,0.0
Marquez Callaway,WR,25,67,1227,18.31,8,49.08,0.0,0.0,0.0,0.0,0.0
Marquez North,WR,11,38,496,13.05,1,45.09,0.0,0.0,0.0,0.0,0.0
Marquez Stevenson,WR,25,127,1926,15.17,18,77.04,0.0,0.0,0.0,0.0,0.0
Marquez Valdes-Scantling,WR,12,53,879,16.58,6,73.25,0.0,0.0,0.0,0.0,0.0
Marquis Fruge',WR,14,39,630,16.15,7,45.0,0.0,0.0,0.0,0.0,0.0
Marquis Green,RB,12,31,284,9.16,3,23.67,69.0,282.0,4.09,1.0,23.5
Marquis Mosley,WR,11,22,292,13.27,4,26.55,0.0,0.0,0.0,0.0,0.0
Marquis Warford,WR,13,36,478,13.28,4,36.77,38.0,442.0,11.63,6.0,34.0
Marquise Brown,WR,27,132,2413,18.28,17,89.37,0.0,0.0,0.0,0.0,0.0
Marquise Irvin,WR,33,160,2116,13.22,16,64.12,0.0,0.0,0.0,0.0,0.0
Marshel Martin,TE,24,118,1528,12.95,18,63.67,0.0,0.0,0.0,0.0,0.0
Marshon Ford,TE,13,49,550,11.22,2,42.31,0.0,0.0,0.0,0.0,0.0
Martavis Bryant,WR,13,42,828,19.71,7,63.69,0.0,0.0,0.0,0.0,0.0
Martin Dorsey,WR,22,95,1253,13.19,9,56.95,0.0,0.0,0.0,0.0,0.0
Marven Beauvais,WR,11,46,732,15.91,5,66.55,0.0,0.0,0.0,0.0,0.0
Marvin Harrison Jr.,WR,13,77,1263,16.4,14,97.15,0.0,0.0,0.0,0.0,0.0
Marvin Mims,WR,24,69,1315,19.06,14,54.79,0.0,0.0,0.0,0.0,0.0
Marvin Mims Jr.,WR,13,54,1083,20.06,6,83.31,0.0,0.0,0.0,0.0,0.0
Marvin Poole,WR,12,24,315,13.12,1,26.25,0.0,0.0,0.0,0.0,0.0
Mason Pierce,WR,11,40,512,12.8,2,46.55,0.0,0.0,0.0,0.0,0.0
Mason Rutherford,WR,23,80,960,12.0,4,41.74,0.0,0.0,0.0,0.0,0.0
Mason Schreck,TE,12,59,651,11.03,4,54.25,0.0,0.0,0.0,0.0,0.0
Mason Tipton,WR,10,27,570,21.11,3,57.0,0.0,0.0,0.0,0.0,0.0
Matt Bushman,TE,13,47,688,14.64,4,52.92,0.0,0.0,0.0,0.0,0.0
Matt Colvin,WR,21,66,942,14.27,3,44.86,0.0,0.0,0.0,0.0,0.0
Matt Costello,WR,20,94,1064,11.32,6,53.2,0.0,0.0,0.0,0.0,0.0
Matt Hazel,WR,14,70,990,14.14,9,70.71,0.0,0.0,0.0,0.0,0.0
Matt Landers,WR,13,47,901,19.17,8,69.31,0.0,0.0,0.0,0.0,0.0
Matt Miller,WR,13,88,1140,12.95,12,87.69,0.0,0.0,0.0,0.0,0.0
Matt Mrazek,WR,11,71,755,10.63,8,68.64,0.0,0.0,0.0,0.0,0.0
Matt Sewall,WR,21,85,1024,12.05,13,48.76,0.0,0.0,0.0,0.0,0.0
Matt Tralli,WR,33,172,1905,11.08,10,57.73,0.0,0.0,0.0,0.0,0.0
Matt VandeBerg,WR,14,65,703,10.82,4,50.21,0.0,0.0,0.0,0.0,0.0
Matt Waters,WR,11,32,446,13.94,3,40.55,0.0,0.0,0.0,0.0,0.0
Matt Welser,TE,12,63,625,9.92,3,52.08,0.0,0.0,0.0,0.0,0.0
Matt Wilcox Jr.,WR,8,26,229,8.81,3,28.62,0.0,0.0,0.0,0.0,0.0
Matthew Golden,WR,11,38,584,15.37,7,53.09,0.0,0.0,0.0,0.0,0.0
Matthew Gonzalez,TE,11,40,642,16.05,12,58.36,0.0,0.0,0.0,0.0,0.0
Matthew Nicholson,WR,12,14,269,19.21,4,22.42,0.0,0.0,0.0,0.0,0.0
Matthew Rivera,WR,11,66,722,10.94,5,65.64,0.0,0.0,0.0,0.0,0.0
Maurice Ffrench,WR,11,96,850,8.85,4,77.27,0.0,0.0,0.0,0.0,0.0
Maurice Massey,WR,12,40,525,13.12,4,43.75,0.0,0.0,0.0,0.0,0.0
Max Borghi,RB,13,86,597,6.94,5,45.92,287.0,1697.0,5.91,23.0,67.88
Max Brimigion,WR,8,33,296,8.97,1,37.0,0.0,0.0,0.0,0.0,0.0
Max McCaffrey,WR,13,52,643,12.37,5,49.46,0.0,0.0,0.0,0.0,0.0
Max Morrison,WR,26,81,1064,13.14,6,40.92,0.0,0.0,0.0,0.0,0.0
Maximo Espitia,TE,11,33,592,17.94,3,53.82,0.0,0.0,0.0,0.0,0.0
Maxx Williams,TE,25,61,986,16.16,13,39.44,0.0,0.0,0.0,0.0,0.0
McLane Mannix,WR,12,50,875,17.5,7,72.92,0.0,0.0,0.0,0.0,0.0
Mclane Mannix,WR,12,57,778,13.65,6,64.83,0.0,0.0,0.0,0.0,0.0
Mekai Felton,WR,11,37,525,14.19,6,47.73,0.0,0.0,0.0,0.0,0.0
