Player,Position,Games Played,Solo Tackles,Asst Tackles,Total Tackles,Tackles Per Game,Solo Sack,Asst Sack,Sack Yds,Total Sacks,Sacks Per Game,Forced Fumbles,Forced Fumbles Per Game,Fumbles Recovered,Passes Defended,Int,Int Ret Yds,Int Ret TDs,Yds Per Int
Avery Cunningham,DB,12,49,27,76,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery James,DB,10,44,27,71,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery Patterson,DB,13,43,37,80,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,89.0,1.0,29.67
Avery Roberts,LB,29,155,125,280,9.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery Williamson,LB,12,46,56,102,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery Young,DB,45,153,135,288,6.4,0.0,0.0,0.0,0.0,0.0,3.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0
Avien Peah,TE,4,6,13,19,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayinde Eley,LB,34,144,143,287,8.44,0.0,0.0,0.0,0.0,0.0,4.0,0.33,4.0,0.0,0.0,0.0,0.0,0.0
Azeem Victor,LB,13,59,36,95,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azeez Al-Shaair,LB,37,178,175,353,9.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azziz Higgins,LB,11,47,45,92,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.J. Edmonds,DB,37,132,102,234,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,0.0,4.0
B.J. Goodson,LB,15,59,49,108,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
B.T. Sanders,DB,11,48,27,75,6.82,0.0,0.0,0.0,0.0,0.0,3.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0
BJ Blunt,DB,10,60,42,102,10.2,11.0,0.0,73.0,11.0,1.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
BJ DAVIS,LB,22,123,47,170,7.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,101.0,1.0,20.2
BJ Ojulari,DE,11,34,24,58,5.27,10.0,5.0,84.0,12.5,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Laolagi,LB,12,39,38,77,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barnett C.J.,DB,13,56,28,84,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,0.0,7.25
Barrett Carter,LB,13,41,32,73,5.62,5.0,1.0,44.0,5.5,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bart Baratti,DB,14,53,40,93,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baylon Spector,LB,23,72,69,141,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Beau Brade,DB,13,55,30,85,6.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beau Duronslet,DB,11,41,32,73,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beau Fitte,LB,13,59,45,104,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,6.0,0.0,3.0
Beau Freyler,DB,11,31,37,68,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BeeJay Williamson,DB,31,103,64,167,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,170.0,1.0,28.33
Ben Allen,LB,22,82,76,158,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Ben Boulware,LB,14,58,58,116,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Ben Bruni,LB,11,59,30,89,8.09,3.0,1.0,14.0,3.5,0.32,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Ben Burr-Kirven,LB,27,146,114,260,9.63,0.0,0.0,0.0,0.0,0.0,4.0,0.29,3.0,0.0,0.0,0.0,0.0,0.0
Ben Bywater,LB,26,88,112,200,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,95.0,1.0,31.67
Ben DeLuca,DB,29,144,98,242,8.34,0.0,0.0,0.0,0.0,0.0,7.0,0.41,3.0,0.0,0.0,0.0,0.0,0.0
Ben Endress,LB,12,51,57,108,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Gedeon,LB,13,38,68,106,8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Heeney,LB,22,144,71,215,9.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,0.0,11.33
Ben Hines,LB,12,35,56,91,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Holt,LB,24,124,106,230,9.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Humphreys,LB,34,108,134,242,7.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Ben Ingle,LB,34,124,181,305,8.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Johnson,LB,12,40,62,102,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Kargbo,DB,12,55,19,74,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Mathiasmeier,DB,10,43,24,67,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,86.0,0.0,14.33
Ben Niemann,LB,13,45,34,79,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Richard,LB,33,130,121,251,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Russell,LB,12,40,47,87,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Schmiesing,LB,21,69,94,163,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Ben VanSumeren,LB,11,27,54,81,7.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Weaver,LB,25,109,88,197,7.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
Benardrick McKinney,LB,13,42,28,70,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Beniquez Brown,LB,13,48,51,99,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bennett Williams,DB,24,82,54,136,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,55.0,0.0,18.33
