Player,Position,Games Played,Rush,Rush Yds,Rush Yds Per Attempt,Rush TD,Receptions,Reception Yds,Reception Yds Per Attempt,Reception TD
Spencer Brown,RB,46,858,4011,4.67,41,0.0,0.0,0.0,0.0
Spencer Kulcsar,RB,9,110,433,3.94,3,83.0,889.0,10.71,4.0
Spencer Sanders,QB,24,285,1296,4.55,8,0.0,0.0,0.0,0.0
Squally Canada,RB,11,120,710,5.92,6,0.0,0.0,0.0,0.0
Sta'Fon McCray,RB,10,113,723,6.4,7,0.0,0.0,0.0,0.0
Stacey Bedell,RB,35,512,2603,5.08,27,0.0,0.0,0.0,0.0
Stacy Sneed,RB,12,76,501,6.59,5,0.0,0.0,0.0,0.0
Stadford Anderson,RB,8,126,583,4.63,4,0.0,0.0,0.0,0.0
Stanley Williams,RB,33,366,2511,6.86,18,0.0,0.0,0.0,0.0
Star Thomas,RB,13,107,518,4.84,5,0.0,0.0,0.0,0.0
Stedman Mayberry,RB,12,157,593,3.78,5,0.0,0.0,0.0,0.0
Stefan Cantwell,QB,14,182,595,3.27,8,0.0,0.0,0.0,0.0
Stephen Bush,RB,12,62,306,4.94,7,0.0,0.0,0.0,0.0
Stephen Carr,RB,9,155,600,3.87,6,0.0,0.0,0.0,0.0
Stephen Houston,RB,12,112,753,6.72,5,0.0,0.0,0.0,0.0
Stephon Huderson,RB,19,230,1192,5.18,7,0.0,0.0,0.0,0.0
Steve McShane,RB,33,437,2143,4.9,22,0.0,0.0,0.0,0.0
Steven Lakalaka,RB,22,272,1114,4.1,6,0.0,0.0,0.0,0.0
Steven Long,RB,11,88,605,6.88,2,0.0,0.0,0.0,0.0
Steven Peoples,RB,13,158,786,4.97,6,0.0,0.0,0.0,0.0
Stevie Scott,RB,12,228,1137,4.99,10,0.0,0.0,0.0,0.0
Stevie Scott III,RB,19,334,1406,4.21,20,0.0,0.0,0.0,0.0
Steward Butler,RB,24,194,1563,8.06,15,0.0,0.0,0.0,0.0
Stockton McGuire,QB,9,108,539,4.99,4,0.0,0.0,0.0,0.0
Storm Johnson,RB,13,213,1139,5.35,14,0.0,0.0,0.0,0.0
Storm Woods,RB,32,347,1734,5.0,12,47.0,440.0,9.36,1.0
Sy'Veon Wilkerson,RB,15,269,1109,4.12,9,0.0,0.0,0.0,0.0
Sy'veon  Wilkerson,RB,13,227,1152,5.07,9,0.0,0.0,0.0,0.0
Synjyn Days,RB,14,157,924,5.89,9,0.0,0.0,0.0,0.0
T.J. Anderson,RB,10,114,403,3.54,3,0.0,0.0,0.0,0.0
T.J. James,RB,10,108,464,4.3,1,0.0,0.0,0.0,0.0
T.J. Logan,RB,35,332,1765,5.32,14,0.0,0.0,0.0,0.0
T.J. Pledger,RB,23,199,1145,5.75,11,0.0,0.0,0.0,0.0
T.J. Yeldon,RB,25,401,2214,5.52,25,0.0,0.0,0.0,0.0
TD Ayo-Durojaiye,RB,10,127,676,5.32,2,0.0,0.0,0.0,0.0
TJ Jones,RB,21,211,1012,4.8,13,0.0,0.0,0.0,0.0
Ta'Zhawn Henry,RB,13,111,513,4.62,7,0.0,0.0,0.0,0.0
TaMerik Williams,RB,28,222,1474,6.64,20,0.0,0.0,0.0,0.0
Taeyler Porter,RB,21,418,2152,5.15,21,0.0,0.0,0.0,0.0
Tahj Brooks,RB,22,234,1259,5.38,14,0.0,0.0,0.0,0.0
Taiwan Deal,RB,22,199,1048,5.27,12,0.0,0.0,0.0,0.0
Taj Griffin,RB,12,77,570,7.4,3,0.0,0.0,0.0,0.0
Tajh Boyd,QB,13,154,400,2.6,10,0.0,0.0,0.0,0.0
Tamarick Pierce,RB,21,156,1012,6.49,12,0.0,0.0,0.0,0.0
Tank Bigsby,RB,35,541,2906,5.37,25,0.0,0.0,0.0,0.0
Tanner McEvoy,QB,14,65,574,8.83,6,0.0,0.0,0.0,0.0
Taquan Mizzell,RB,24,350,1611,4.6,9,75.0,721.0,9.61,4.0
Taquon Marshall,QB,23,463,2117,4.57,28,0.0,0.0,0.0,0.0
Tarean Folston,RB,25,263,1359,5.17,9,0.0,0.0,0.0,0.0
Tarik Cohen,RB,46,868,5619,6.47,56,0.0,0.0,0.0,0.0
Taron Jones,RB,20,124,513,4.14,8,0.0,0.0,0.0,0.0
Taryn Christion,QB,14,114,500,4.39,9,0.0,0.0,0.0,0.0
Tavares Thomas,LB,12,93,507,5.45,9,0.0,0.0,0.0,0.0
Taven Birdow,RB,13,180,839,4.66,7,0.0,0.0,0.0,0.0
Tavien Feaster,RB,24,231,1341,5.81,12,0.0,0.0,0.0,0.0
Tavion Thomas,RB,23,346,1795,5.19,28,0.0,0.0,0.0,0.0
Tay Willis,WR,12,60,321,5.35,0,47.0,624.0,13.28,6.0
Taylen Green,QB,13,81,586,7.23,10,0.0,0.0,0.0,0.0
Taylor Duncan,RB,24,333,1529,4.59,15,0.0,0.0,0.0,0.0
Taylor Kelly,QB,14,173,608,3.51,9,0.0,0.0,0.0,0.0
Taylor Lamb,QB,13,78,584,7.49,5,0.0,0.0,0.0,0.0
Taylor McHargue,QB,14,157,464,2.96,5,0.0,0.0,0.0,0.0
Tayon Fleet-Davis,RB,13,128,721,5.63,8,0.0,0.0,0.0,0.0
Taysom Hill,QB,25,383,1947,5.08,18,0.0,0.0,0.0,0.0
