Rank,Pos,Player,ByeWeek,Team,Tier,Salary,YearsPro,FantasyPoints
289,K,Jason Myers,11,SEA,K,8950000,7,
290,RB,Joshua Kelley,8,LAC,RB,3300000,2,28
291,DEF,New York Giants,9,NYG,DEF,,,
292,RB,Hassan Haskins,6,TEN,RB,3670000,0,32
293,WR,Josh Reynolds,6,DET,WR,4500000,5,31
294,TE,O.J. Howard,7,BUF,TE,1630000,5,35
295,WR,Tre'Quan Smith,14,NO,WR,2400000,4,9
296,K,Randy Bullock,6,TEN,K,2630000,10,
297,WR,Darius Slayton,9,NYG,WR,4320000,3,43
298,WR,Quez Watkins,7,PHI,WR,3300000,2,46
299,K,Cairo Santos,14,CHI,K,5930000,8,
300,DEF,New York Jets,10,NYJ,DEF,,,
